"Vármegye","Település","EVK Sorszám","Szavazókör sorszáma","Cím","Típus","Akadálymentesség","Választópolgárok száma"
"BUDAPEST főváros","Budapest 01. kerület","01","001"," Budapest 01, Úri utca 38. (Önkormányzat Intézménye)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 327"
"BUDAPEST főváros","Budapest 01. kerület","01","002","1014 Budapest 01, Tárnok utca 9-11. (Budavári Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 395"
"BUDAPEST főváros","Budapest 01. kerület","02","003","1015 Budapest 01, Toldy Ferenc utca 9. (Toldy Ferenc Gimnázium)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 213"
"BUDAPEST főváros","Budapest 01. kerület","02","004","1011 Budapest 01, Fő utca 31. (III. sz. Idősek Klubja)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 481"
"BUDAPEST főváros","Budapest 01. kerület","03","005","1015 Budapest 01, Batthyány u. 8. (Batthyány Lajos Általános Iskola)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 483"
"BUDAPEST főváros","Budapest 01. kerület","03","006","1015 Budapest 01, Toldy Ferenc utca 66. (Vízivárosi Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 279"
"BUDAPEST főváros","Budapest 01. kerület","04","007","1015 Budapest 01, Hattyú utca 16. (I. sz. Idősek Klubja)","10 ezer lakos feletti település, nem megyei jogú város","Nem","1 204"
"BUDAPEST főváros","Budapest 01. kerület","04","008","1012 Budapest 01, Attila út 135-137. (Kosztolányi Dezső Gimnázium)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 333"
"BUDAPEST főváros","Budapest 01. kerület","05","009","1012 Budapest 01, Attila út 89. (Szociális Szolgáltatási Központ)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 206"
"BUDAPEST főváros","Budapest 01. kerület","05","010","1013 Budapest 01, Attila út 43. (Petőfi Sándor Gimnázium)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 318"
"BUDAPEST főváros","Budapest 01. kerület","06","011","1016 Budapest 01, Mészáros utca 5-7. (Szilágyi Erszébet Gimnázium)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 369"
"BUDAPEST főváros","Budapest 01. kerület","06","012","1016 Budapest 01, Nyárs utca 2-4. (Nyárs utcai Óvoda)","10 ezer lakos feletti település, nem megyei jogú város","Igen","1 226"
