Vármegye;Település;Cím;Típus;Akadálymentesség;Választópolgárok száma
BUDAPEST főváros;Budapest 01. kerület; Budapest 01, Úri utca 38. (Önkormányzat Intézménye);10 ezer lakos feletti település, nem megyei jogú város;Igen;1327
BUDAPEST főváros;Budapest 01. kerület;1014 Budapest 01, Tárnok utca 9-11. (Budavári Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Igen;1395
BUDAPEST főváros;Budapest 01. kerület;1015 Budapest 01, Toldy Ferenc utca 9. (Toldy Ferenc Gimnázium);10 ezer lakos feletti település, nem megyei jogú város;Igen;1213
BUDAPEST főváros;Budapest 01. kerület;1011 Budapest 01, Fő utca 31. (III. sz. Idősek Klubja);10 ezer lakos feletti település, nem megyei jogú város;Igen;1481
BUDAPEST főváros;Budapest 01. kerület;1015 Budapest 01, Batthyány u. 8. (Batthyány Lajos Általános Iskola);10 ezer lakos feletti település, nem megyei jogú város;Nem;1483
BUDAPEST főváros;Budapest 01. kerület;1015 Budapest 01, Toldy Ferenc utca 66. (Vízivárosi Óvoda);10 ezer lakos feletti település, nem megyei jogú város;Igen;1279
BUDAPEST főváros;Budapest 01. kerület;1015 Budapest 01, Hattyú utca 16. (I. sz. Idősek Klubja);10 ezer lakos feletti település, nem megyei jogú város;Nem;1204
BUDAPEST főváros;Budapest 01. kerület;1012 Budapest 01, Attila út 135-137. (Kosztolányi Dezső Gimnázium);10 ezer lakos feletti település, nem megyei jogú város;Igen;1333
BUDAPEST főváros;Budapest 01. kerület;1012 Budapest 01, Attila út 89. (Szociális Szolgáltatási Központ);10 ezer lakos feletti település, nem megyei jogú város;Igen;1206
BUDAPEST főváros;Budapest 01. kerület;1013 Budapest 01, Attila út 43. (Petőfi Sándor Gimnázium);10 ezer lakos feletti település, nem megyei jogú város;Igen;1318
BUDAPEST főváros;Budapest 01. kerület;1016 Budapest 01, Mészáros utca 5-7. (Szilágyi Erszébet Gimnázium);10 ezer lakos feletti település, nem megyei jogú város;Igen;1369
BUDAPEST főváros;Budapest 01. kerület;1016 Budapest 01, Nyárs utca 2-4. (Nyárs utcai Óvoda);10 ezer lakos feletti település, nem megyei jogú város;Igen;1226
BUDAPEST főváros;Budapest 01. kerület;1016 Budapest 01, Mészáros utca 5-7. (Szilágyi Erzsébet Gimnázium);10 ezer lakos feletti település, nem megyei jogú város;Igen;1382
